ID;sex;age;nationality;highest_education;student;MD01;MD02;MD03;MD04;MD05;MD06;MD07;MD08;GM02_01;GM02_02;GM02_03;GM02_04;GM02_05;GM02_06;GM02_07;GM02_08;GM02_09;GM02_10;GM02_11;GM02_12;GM02_13;GM02_14;GM02_15;GM02_16;GM03_17;GM03_18;GM03_19;GM03_20;GM03_21;GM03_22;GM03_23;GM03_24;GM03_25;GM03_26;GM03_27;GM03_28;GM03_29;GM03_30;GM03_31;GM03_32;GN01_01;GN01_02;GN01_03;GN01_04;GN01_05;GN01_06;GN01_07;GN01_08;GN01_09;GN01_10;GN01_11;GN01_12;GN01_13;GN01_14;GN01_15;VN02_01;VN02_02;VN02_03;VN02_04;VN02_05;VN02_06;VN02_07;VN02_08;VN02_09;VN02_10;PS01_01;PS01_02;PS01_03;PS01_04;PS01_04_R;PS01_05;PS01_06;PS01_07;PS01_08;PS01_09;PS01_10;PS01_11;PS01_11_R;PS01_12;PS01_13;PS01_14;PS01_15;PS01_16;PS03_17;PS03_17_R;PS03_18;PS03_18_R;PS03_19;PS03_19_R;PS03_20;PS03_21;PS03_22;PS03_23;PS03_24;PS03_25;PS03_26;PS03_27;PS03_28;PS03_29;PS03_30;PS03_31;LTS_total;LTS_FIH;LTS_H;LTS_K;NPI_total;NPI_LP;NPI_G;HSNS_total;HSNS_STJ;HSNS_E;SRP_total;SRP_AB;SRP_IM;SRP_ITS;SRP_CA;MA02_01;MA02_02;MA02_03;MA02_04_R;MA02_05;DC01_01_R;DC01_02;DC01_03_R;DC01_04;DC01_05_R;DC01_06;DC01_07_R;DC01_08;DC01_09_R;DC01_10;DC01_11;DC01_12;DC01_13_R;DC01_14_R;DC01_15;DC01_16_R;MACH_total;DC_total;SRP_F1;SRP_F2
2904;1;22;1;2;1;-1;1;-1;2;1;1;-1;-1;4;4;3;5;4;5;5;5;4;5;5;5;1;4;3;5;3;3;2;3;4;3;1;2;4;3;2;2;4;3;2;1;2;2;1;2;2;2;1;1;2;1;1;1;2;1;3;4;4;4;2;1;2;4;2;3;1;4;2;1;3;3;2;2;2;4;2;3;5;1;1;2;2;2;3;3;3;4;2;4;2;4;1;1;2;4;1;4;1;4;1;1;1;4,50000000000000;4,00;4,75;4,75;1,60000000000000;1,4;2,0;2,7;3,8;1,6;2,19354838709677;2,0;2,28571428571429;2,33333333333333;2,2;2;2;3;2;3;2;2;1;2;4;2;1;2;1;2;1;3;2;1;2;1;2,4;1,8125;2,25000000000000;2,15789473684211
2908;2;26;3;5;1;-2;1;1;-1;-1;-2;2;1;4;4;4;4;2;3;4;4;4;2;2;3;4;4;3;2;1;3;4;3;3;2;2;4;2;4;3;4;4;3;1;3;4;2;4;5;5;5;5;4;5;4;3;5;5;5;5;3;1;1;4;3;4;2;2;1;1;3;4;2;5;1;4;1;2;4;4;5;4;2;3;2;3;5;5;2;4;3;3;4;2;5;1;2;1;5;1;4;1;3;4;2;1;3,33333333333333;4,00;3,25;2,75;4,40000000000000;4,2;4,8;2,2;1,6;2,8;2,87096774193548;2,4;3,42857142857143;3,44444444444444;2,0;4;2;4;2;5;2;1;3;2;2;2;2;4;2;3;4;1;1;3;3;2;3,4;2,3125;2,83333333333333;2,89473684210526
2912;1;22;1;1;1;-2;2;1;-2;1;-1;-1;1;4;4;5;4;3;4;4;4;4;4;5;5;4;2;4;5;4;4;3;3;2;2;1;1;1;5;1;1;5;4;2;2;6;2;1;6;6;1;1;4;1;1;1;4;3;5;3;4;4;4;4;4;4;4;4;4;4;5;5;5;5;1;5;5;5;5;5;5;5;1;5;5;5;5;5;3;3;2;4;4;2;4;2;2;4;4;3;3;2;3;4;3;2;4,16666666666667;4,25;3,75;4,50;3,00000000000000;2,8;3,4;4,0;4,0;4,0;3,77419354838710;3,0;4,14285714285714;4,88888888888889;2,8;1;1;1;6;1;1;5;1;5;1;5;1;5;1;5;5;5;1;1;5;1;2,0;3,0000;3,58333333333333;3,89473684210526
2914;2;27;2;5;2;-1;-2;-1;-1;-1;-1;-2;-1;4;4;4;3;3;4;4;5;5;4;4;2;4;2;3;5;3;4;2;4;3;3;1;3;3;2;3;2;4;3;2;2;3;2;3;2;3;2;3;3;3;2;2;2;2;2;2;4;3;2;2;2;2;2;2;2;2;2;2;3;4;2;2;3;2;3;2;2;4;2;3;3;2;3;2;3;3;4;2;4;2;3;2;1;2;3;1;1;1;1;1;1;1;3,83333333333333;3,75;4,00;3,75;2,40000000000000;2,4;2,4;2,3;2,6;2,0;2,03225806451613;1,3;2,42857142857143;2,44444444444444;2,2;4;3;3;3;3;1;2;2;3;4;2;4;2;4;2;2;2;2;2;3;2;3,2;2,4375;2,33333333333333;1,84210526315789
2915;1;20;1;4;2;-1;-1;-1;-2;2;1;1;-2;5;4;3;4;3;4;4;5;4;4;2;3;4;3;3;3;2;1;1;4;4;3;1;3;2;1;1;3;5;4;1;1;5;2;1;5;4;4;2;4;2;1;4;5;5;5;5;4;4;4;2;1;1;4;1;2;1;1;1;1;3;3;2;1;1;3;4;3;5;1;4;3;3;3;4;3;3;4;2;4;2;4;1;1;3;4;1;1;1;1;1;1;1;3,75000000000000;4,00;4,00;3,25;3,60000000000000;3,3;4,2;2,4;3,6;1,2;2,09677419354839;1,5;2,28571428571429;2,77777777777778;1,8;4;1;2;2;1;2;1;1;1;3;1;2;1;1;2;1;1;1;2;2;1;2,0;1,4375;2,08333333333333;2,10526315789474
2917;1;18;1;4;2;-2;-1;-2;2;1;2;-2;1;4;2;3;5;4;4;5;5;5;5;3;4;3;5;2;5;4;3;3;4;2;4;3;1;5;4;4;1;4;3;2;3;2;2;1;1;1;1;1;1;1;1;1;1;1;1;5;5;5;5;2;2;4;4;3;5;1;3;3;2;4;2;3;2;1;4;2;4;4;2;2;2;1;2;2;1;5;2;4;4;2;4;1;1;5;3;1;5;1;1;1;1;1;4,08333333333333;3,50;4,50;4,25;1,40000000000000;1,2;1,8;3,6;4,8;2,4;2,35483870967742;2,0;2,85714285714286;2,55555555555556;2,0;6;5;4;3;3;1;1;2;3;1;2;1;2;1;2;5;1;1;1;3;1;4,2;1,7500;2,50000000000000;2,26315789473684
2918;1;23;2;5;2;-2;2;-1;-2;-1;1;-1;-2;2;2;3;1;4;4;4;4;4;4;2;3;4;3;4;3;2;3;4;5;4;4;1;1;2;4;3;2;5;4;2;3;4;4;4;4;4;4;4;4;4;4;3;4;4;3;3;5;5;4;2;4;3;5;3;5;1;1;2;5;4;2;4;3;3;3;4;3;4;2;2;4;2;3;2;3;3;4;2;4;2;4;1;1;5;4;1;1;4;4;1;1;1;3,08333333333333;2,00;4,00;3,25;3,80000000000000;3,8;3,8;3,7;4,8;2,6;2,58064516129032;2,3;2,42857142857143;3,22222222222222;2,2;2;2;4;4;1;1;2;2;2;1;1;1;3;2;3;2;1;1;2;1;1;2,6;1,6250;2,33333333333333;2,73684210526316
2919;2;21;3;4;1;-2;1;2;-2;-1;-2;-1;-2;2;3;1;1;1;4;4;4;5;5;4;3;1;3;5;2;4;3;1;3;2;2;3;3;4;2;1;3;4;3;3;4;3;2;2;4;2;1;2;4;1;1;3;3;4;1;4;5;2;2;1;1;5;4;1;1;1;3;1;3;4;2;2;1;1;4;3;3;4;2;3;4;3;5;4;4;2;3;3;5;1;3;1;1;1;5;5;5;1;5;1;1;1;3,08333333333333;1,75;3,25;4,25;2,46666666666667;2,0;3,4;2,3;2,8;1,8;2,58064516129032;2,6;2,42857142857143;3,00000000000000;2,0;6;4;3;6;4;2;1;1;1;1;4;2;2;2;3;2;3;3;1;5;2;4,6;2,1875;2,25000000000000;2,78947368421053
2920;2;32;2;5;2;-2;1;1;2;-1;1;-1;-2;3;4;3;4;5;5;5;3;3;3;2;4;5;5;1;3;3;2;5;3;5;5;5;3;3;2;5;5;5;3;3;4;4;4;2;6;6;6;4;6;6;2;3;6;3;3;6;3;4;5;3;4;4;4;4;5;3;3;3;5;3;3;2;2;5;3;2;2;4;2;5;5;5;4;5;2;4;3;3;4;2;1;1;1;1;5;1;1;5;5;1;1;5;3,66666666666667;3,50;4,50;3,00;4,46666666666667;4,0;5,4;3,9;4,2;3,6;3,00000000000000;2,6;3,28571428571429;3,33333333333333;2,8;6;6;4;4;2;1;3;4;3;3;2;4;4;2;3;3;2;1;1;5;2;4,4;2,6875;3,08333333333333;2,94736842105263
2921;1;24;2;5;2;-2;-2;-1;-2;2;2;-2;-2;3;2;4;2;5;4;4;4;4;4;3;4;2;3;3;5;2;3;4;4;2;3;2;1;4;3;3;3;5;4;1;2;3;2;1;1;4;4;3;4;3;1;4;4;3;2;2;3;4;4;4;2;3;3;3;5;1;4;2;3;5;1;3;1;3;3;3;2;5;1;2;4;2;3;2;3;3;2;4;4;2;1;1;1;4;4;1;4;4;2;1;1;1;3,58333333333333;2,75;4,25;3,75;2,73333333333333;2,8;2,6;3,2;3,8;2,6;2,35483870967742;2,3;2,42857142857143;2,66666666666667;1,8;5;5;2;2;2;1;2;1;1;1;2;1;3;1;3;2;3;1;2;1;5;3,2;1,8750;2,16666666666667;2,47368421052632
2925;2;61;2;3;1;-2;-2;-2;-2;-2;-2;-2;-2;5;4;4;4;3;3;3;5;5;5;5;5;2;2;5;5;5;2;2;5;2;5;2;2;5;2;2;2;5;3;2;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;3;3;5;1;3;1;1;3;3;3;1;2;4;1;1;1;3;3;1;5;1;1;5;1;5;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4,25000000000000;4,25;3,50;5,00;1,00000000000000;1,0;1,0;2,4;2,2;2,6;2,64516129032258;3,0;3,00000000000000;2,11111111111111;2,4;4;1;1;4;1;2;1;2;1;2;2;2;1;3;1;2;1;2;2;1;2;2,2;1,6875;2,75000000000000;2,57894736842105
2928;1;22;2;4;2;-2;-1;-1;1;-2;-2;-2;-2;2;4;4;2;3;4;4;5;4;4;4;4;2;4;4;4;2;2;4;4;2;4;2;2;2;4;2;2;4;3;2;2;2;3;1;1;2;1;1;3;1;1;1;1;3;1;1;3;4;3;2;2;2;4;4;3;1;3;3;1;4;2;1;1;1;3;1;1;4;2;2;2;2;3;2;3;3;4;2;4;2;3;3;2;2;2;1;1;1;1;1;1;1;3,66666666666667;3,00;4,00;4,00;1,53333333333333;1,4;1,8;2,8;3,4;2,2;1,80645161290323;1,3;2,28571428571429;1,77777777777778;2,2;2;2;2;2;2;1;1;2;1;1;1;5;1;1;2;3;3;3;3;3;1;2,0;2,0000;2,25000000000000;1,52631578947368
2929;2;27;2;5;1;-2;1;-1;2;2;-2;-1;1;4;2;3;3;2;4;4;5;5;1;4;2;4;4;1;3;2;1;3;3;4;2;3;2;2;4;3;2;5;2;2;2;6;4;4;4;5;5;5;4;3;5;4;4;3;5;5;4;4;1;3;2;3;4;2;2;1;3;3;1;4;2;3;5;3;5;4;4;5;1;2;4;3;4;3;3;3;1;5;4;2;5;1;1;4;4;1;1;1;1;1;1;1;3,25000000000000;3,00;3,75;3,00;4,40000000000000;4,7;3,8;2,6;3,0;2,2;2,64516129032258;1,6;3,57142857142857;3,22222222222222;2,4;2;2;4;3;4;2;1;1;2;2;2;1;3;2;3;2;1;1;2;4;1;3,0;1,8750;3,08333333333333;2,36842105263158
2930;2;24;3;5;2;-2;-1;-2;-2;-1;1;-1;-1;2;3;4;1;4;4;4;2;3;2;2;3;4;1;4;5;2;3;3;4;4;5;1;3;3;1;1;2;4;3;2;2;3;2;1;2;1;2;1;3;1;1;1;1;1;1;2;3;3;4;2;3;4;4;2;4;2;3;4;3;4;2;2;3;4;3;3;2;3;3;4;2;1;2;3;3;3;2;4;4;2;2;1;1;1;4;1;2;1;1;1;1;1;2,83333333333333;2,50;3,50;2,50;1,53333333333333;1,4;1,8;3,1;3,6;2,6;2,25806451612903;1,4;3,00000000000000;2,44444444444444;2,6;4;3;2;3;2;2;3;1;2;2;2;5;2;2;2;3;1;2;3;2;1;2,8;2,1875;2,83333333333333;1,89473684210526
2932;2;26;1;5;1;-2;-2;-1;-2;-2;1;-2;1;4;4;5;4;5;5;5;5;5;3;5;3;3;1;2;5;3;1;1;4;2;5;1;1;5;1;1;5;5;5;1;1;6;3;5;6;6;6;6;6;5;5;6;6;6;6;6;5;3;1;1;1;5;2;1;1;1;5;1;1;3;3;1;1;1;5;4;1;5;1;3;2;4;5;1;5;1;3;3;4;2;4;1;1;1;4;1;3;1;1;1;1;1;4,41666666666667;4,25;5,00;4,00;5,60000000000000;5,5;5,8;2,1;2,4;1,8;2,09677419354839;1,5;2,00000000000000;2,77777777777778;2,2;1;1;1;1;1;1;1;1;3;1;1;1;1;3;1;1;1;1;1;1;1;1,0;1,2500;2,08333333333333;2,10526315789474
2933;1;33;2;5;1;-2;-1;-1;-1;-2;-1;-1;-1;3;4;4;4;2;4;4;4;4;2;4;4;2;5;4;4;2;1;2;3;2;2;1;2;4;4;2;2;5;4;4;3;4;3;5;4;5;6;5;2;2;5;6;5;3;5;4;4;2;1;3;2;2;3;1;1;2;2;1;3;1;5;4;1;1;4;3;2;3;3;2;4;1;4;1;1;5;1;5;1;5;2;1;1;2;5;1;1;1;1;1;1;1;3,58333333333333;3,75;3,50;3,50;4,26666666666667;4,9;3,0;2,1;2,2;2,0;2,38709677419355;1,5;3,14285714285714;2,55555555555556;2,8;3;1;4;2;2;2;2;2;2;4;1;2;3;2;4;2;1;2;1;1;2;2,4;2,0625;3,00000000000000;2,00000000000000
2935;1;55;2;6;1;-2;-2;-2;-2;-2;-1;1;-1;3;3;3;3;2;3;4;4;4;4;4;4;4;2;2;4;2;2;2;4;2;5;1;2;2;1;1;2;4;4;2;1;3;3;3;4;4;4;3;4;4;3;3;3;3;3;4;4;4;2;3;3;2;4;2;3;2;1;1;1;4;2;1;1;1;4;1;1;4;2;1;2;1;4;1;3;3;4;2;4;2;1;2;1;1;2;1;1;1;1;1;1;1;3,41666666666667;3,00;3,25;4,00;3,40000000000000;3,2;3,8;2,9;3,4;2,4;1,48387096774194;1,1;2,00000000000000;1,11111111111111;2,2;3;4;2;2;4;1;1;1;2;1;1;1;3;2;3;3;1;2;2;2;1;3,0;1,6875;2,08333333333333;1,10526315789474
2936;2;21;3;4;2;-2;-2;-2;1;2;2;-1;2;4;2;2;3;4;4;4;5;4;2;4;5;3;5;3;3;3;1;3;4;2;4;1;2;5;4;3;1;3;3;2;3;3;4;3;2;2;3;1;5;2;2;2;3;2;2;2;1;1;1;2;2;4;2;2;2;1;3;2;2;3;3;3;3;2;3;4;2;2;4;4;2;2;4;3;1;5;2;4;2;4;2;1;1;1;3;1;1;1;1;1;1;1;3,58333333333333;2,75;4,25;3,75;2,53333333333333;2,5;2,6;1,8;1,4;2,2;2,38709677419355;1,2;3,57142857142857;2,66666666666667;2,6;2;4;2;3;2;3;2;2;3;3;2;3;3;3;1;2;3;4;3;3;2;2,6;2,6250;3,16666666666667;1,89473684210526
2940;2;22;1;2;1;-1;-2;-2;-2;1;1;-1;-1;2;3;2;2;3;4;5;3;4;3;2;2;3;1;1;4;2;1;4;3;4;4;3;1;4;1;4;3;5;4;2;1;5;2;2;4;5;5;3;5;5;3;5;5;5;5;5;1;2;2;2;2;2;2;3;2;2;2;3;2;4;2;2;2;1;5;3;2;4;2;4;2;2;4;3;2;4;2;4;2;4;2;2;1;1;2;1;2;1;1;1;1;1;2,91666666666667;2,25;3,75;2,75;4,26666666666667;4,0;4,8;2,0;1,8;2,2;2,22580645161290;1,2;3,42857142857143;2,33333333333333;2,4;6;5;5;5;2;2;3;2;2;2;1;2;5;2;3;3;2;2;2;3;3;4,6;2,4375;3,00000000000000;1,73684210526316
2943;1;20;2;4;2;-2;-1;-2;-2;2;1;1;1;4;2;3;2;3;4;4;4;5;4;4;2;2;1;4;5;2;1;2;5;1;5;1;2;5;1;1;1;5;3;2;2;4;2;4;4;5;5;2;4;2;5;3;4;3;4;4;4;2;1;2;1;4;3;1;3;1;1;2;1;1;5;1;2;1;4;2;1;4;2;4;2;1;2;1;3;3;2;4;4;2;1;1;1;1;1;1;1;1;1;1;1;1;3,41666666666667;2,75;3,75;3,75;3,66666666666667;3,8;3,4;2,2;2,6;1,8;1,70967741935484;1,0;2,28571428571429;1,55555555555556;2,6;4;4;1;3;1;1;1;1;2;2;1;1;3;2;2;1;1;1;1;1;1;2,6;1,3750;2,41666666666667;1,26315789473684
2944;1;26;1;4;2;-2;-2;1;-1;-2;1;-2;1;5;3;3;2;3;3;4;3;5;4;4;3;4;2;4;4;3;1;1;4;1;5;1;3;4;3;1;2;3;4;3;3;2;2;1;5;4;5;3;4;1;1;1;5;1;5;3;4;4;4;1;1;1;4;1;4;1;3;1;4;4;2;1;1;4;2;3;2;5;1;1;4;1;2;1;3;3;5;1;5;1;4;1;1;2;4;1;3;5;5;1;5;1;3,50000000000000;3,25;3,25;4,00;2,86666666666667;2,9;2,8;2,5;4,0;1,0;2,29032258064516;2,8;1,42857142857143;2,55555555555556;2,0;5;4;4;4;1;2;1;1;1;1;1;2;2;2;1;2;2;1;3;1;1;3,6;1,5000;1,66666666666667;2,68421052631579
2945;1;27;1;5;1;-2;-2;-2;-2;-1;1;-2;-2;4;4;3;3;4;5;5;5;5;5;4;3;1;3;1;4;3;1;4;4;2;3;2;2;2;3;3;3;5;4;1;1;5;4;3;5;5;4;4;4;4;3;4;5;4;4;4;4;4;3;3;5;4;4;2;1;1;3;1;1;3;3;3;2;1;3;4;1;5;1;3;2;3;2;2;4;2;5;1;4;2;4;1;1;1;5;1;5;1;1;1;1;2;4,16666666666667;3,50;4,75;4,25;4,13333333333333;4,1;4,2;3,1;3,2;3,0;2,06451612903226;1,9;1,71428571428571;2,66666666666667;1,8;3;3;4;4;4;1;2;1;1;1;1;1;2;3;3;2;2;2;1;1;1;3,6;1,5625;1,75000000000000;2,26315789473684
2947;1;10;1;4;2;-1;-2;-1;-2;1;1;-1;1;5;5;4;3;3;4;5;3;4;4;4;3;4;3;2;2;4;1;3;2;4;2;1;2;3;2;4;4;5;4;3;1;3;5;3;5;3;3;4;6;3;3;2;2;5;2;4;2;5;4;2;2;4;5;2;4;2;4;2;1;3;3;3;2;3;4;2;2;5;1;1;2;2;1;2;2;4;3;3;5;1;3;1;1;2;3;1;1;2;1;1;1;2;3,91666666666667;4,25;3,75;3,75;3,53333333333333;3,0;4,6;3,2;4,0;2,4;2,00000000000000;1,5;2,14285714285714;2,22222222222222;2,4;5;4;3;1;6;1;2;2;2;2;1;1;3;1;2;3;4;1;2;3;2;3,8;2,0000;2,25000000000000;1,84210526315789
