ID;sex;age;highest_education;LTS_total;LTS_FIH;LTS_H;LTS_K;NPI_total;NPI_LP;NPI_G;HSNS_total;HSNS_STJ;HSNS_E;SRP_total;SRP_AB;SRP_IM;SRP_ITS;SRP_CA;MACH_total;DC_total;SRP_F1;SRP_F2;UtilScore;involvement;self_interest;MD_item;MD_factor;age_gmc;HSNS_total_gmc;HSNS_E_gmc;HSNS_STJ_gmc;LTS_K_gmc;LTS_FIH_gmc;LTS_H_gmc;LTS_total_gmc;MACH_total_gmc;NPI_total_gmc;SRP_total_gmc;SRP_AB_gmc;SRP_IM_gmc;SRP_ITS_gmc;SRP_CA_gmc;SRP_F1_gmc;SRP_F2_gmc;DC_total_gmc;inv_cwc;self_cwc
1370;1;20;4;3,41666666666667;2,25;4,75;3,25;4,40000000000000;4,7;3,8;2,8;3,6;2,0;2,67741935483871;1,8;3,42857142857143;3,33333333333333;2,2;3,0;1,8125;2,91666666666667;2,52631578947368;-1;2;2;7;3;-0,7905489219964736;0,0576647314897258;-0,455859665564631;0,4266159647058832;-0,987693693169969;-1,645495408823713;1,4757014191742968;-0,77325580154983742;0,2284621872199466;1,3834704868257701;1,0304503688609687;0,055625757007027;1,486781765517041;1,272082887779360;-0,199230145558751;1,1479229559752311;0,7916392072090761;-0,2586214060446960;0,5;0,5
1370;1;20;4;3,41666666666667;2,25;4,75;3,25;4,40000000000000;4,7;3,8;2,8;3,6;2,0;2,67741935483871;1,8;3,42857142857143;3,33333333333333;2,2;3,0;1,8125;2,91666666666667;2,52631578947368;-2;2;2;8;1;-0,7905489219964736;0,0576647314897258;-0,455859665564631;0,4266159647058832;-0,987693693169969;-1,645495408823713;1,4757014191742968;-0,77325580154983742;0,2284621872199466;1,3834704868257701;1,0304503688609687;0,055625757007027;1,486781765517041;1,272082887779360;-0,199230145558751;1,1479229559752311;0,7916392072090761;-0,2586214060446960;0,5;0,5
1371;1;57;5;3,66666666666667;3,25;4,25;3,50;4,13333333333333;4,7;3,0;2,9;3,4;2,4;2,45161290322581;1,6;3,00000000000000;2,77777777777778;2,8;4,0;2,6250;2,91666666666667;2,15789473684211;-2;2;1;1;7;2,0436897896153376;0,2363165977277070;0,161223245282132;0,1896391669903686;-0,585861918099333;-0,244456538567795;0,5310223820264622;-0,19786938486788902;1,2336468373141376;1,1162794095065611;0,5594412008148396;-0,276510581194931;0,860165836620999;0,506632835839420;1,134204225395608;1,1479229559752311;0,1505865759803090;1,3097117000433953;0,5;-0,5
1371;1;57;5;3,66666666666667;3,25;4,25;3,50;4,13333333333333;4,7;3,0;2,9;3,4;2,4;2,45161290322581;1,6;3,00000000000000;2,77777777777778;2,8;4,0;2,6250;2,91666666666667;2,15789473684211;-1;1;2;2;6;2,0436897896153376;0,2363165977277070;0,161223245282132;0,1896391669903686;-0,585861918099333;-0,244456538567795;0,5310223820264622;-0,19786938486788902;1,2336468373141376;1,1162794095065611;0,5594412008148396;-0,276510581194931;0,860165836620999;0,506632835839420;1,134204225395608;1,1479229559752311;0,1505865759803090;1,3097117000433953;-0,5;0,5
1371;1;57;5;3,66666666666667;3,25;4,25;3,50;4,13333333333333;4,7;3,0;2,9;3,4;2,4;2,45161290322581;1,6;3,00000000000000;2,77777777777778;2,8;4,0;2,6250;2,91666666666667;2,15789473684211;1;1;1;3;5;2,0436897896153376;0,2363165977277070;0,161223245282132;0,1896391669903686;-0,585861918099333;-0,244456538567795;0,5310223820264622;-0,19786938486788902;1,2336468373141376;1,1162794095065611;0,5594412008148396;-0,276510581194931;0,860165836620999;0,506632835839420;1,134204225395608;1,1479229559752311;0,1505865759803090;1,3097117000433953;-0,5;-0,5
1371;1;57;5;3,66666666666667;3,25;4,25;3,50;4,13333333333333;4,7;3,0;2,9;3,4;2,4;2,45161290322581;1,6;3,00000000000000;2,77777777777778;2,8;4,0;2,6250;2,91666666666667;2,15789473684211;-2;1;2;4;4;2,0436897896153376;0,2363165977277070;0,161223245282132;0,1896391669903686;-0,585861918099333;-0,244456538567795;0,5310223820264622;-0,19786938486788902;1,2336468373141376;1,1162794095065611;0,5594412008148396;-0,276510581194931;0,860165836620999;0,506632835839420;1,134204225395608;1,1479229559752311;0,1505865759803090;1,3097117000433953;-0,5;0,5
1371;1;57;5;3,66666666666667;3,25;4,25;3,50;4,13333333333333;4,7;3,0;2,9;3,4;2,4;2,45161290322581;1,6;3,00000000000000;2,77777777777778;2,8;4,0;2,6250;2,91666666666667;2,15789473684211;1;2;1;5;8;2,0436897896153376;0,2363165977277070;0,161223245282132;0,1896391669903686;-0,585861918099333;-0,244456538567795;0,5310223820264622;-0,19786938486788902;1,2336468373141376;1,1162794095065611;0,5594412008148396;-0,276510581194931;0,860165836620999;0,506632835839420;1,134204225395608;1,1479229559752311;0,1505865759803090;1,3097117000433953;0,5;-0,5
1371;1;57;5;3,66666666666667;3,25;4,25;3,50;4,13333333333333;4,7;3,0;2,9;3,4;2,4;2,45161290322581;1,6;3,00000000000000;2,77777777777778;2,8;4,0;2,6250;2,91666666666667;2,15789473684211;1;1;1;6;2;2,0436897896153376;0,2363165977277070;0,161223245282132;0,1896391669903686;-0,585861918099333;-0,244456538567795;0,5310223820264622;-0,19786938486788902;1,2336468373141376;1,1162794095065611;0,5594412008148396;-0,276510581194931;0,860165836620999;0,506632835839420;1,134204225395608;1,1479229559752311;0,1505865759803090;1,3097117000433953;-0,5;-0,5
1371;1;57;5;3,66666666666667;3,25;4,25;3,50;4,13333333333333;4,7;3,0;2,9;3,4;2,4;2,45161290322581;1,6;3,00000000000000;2,77777777777778;2,8;4,0;2,6250;2,91666666666667;2,15789473684211;-1;2;2;7;3;2,0436897896153376;0,2363165977277070;0,161223245282132;0,1896391669903686;-0,585861918099333;-0,244456538567795;0,5310223820264622;-0,19786938486788902;1,2336468373141376;1,1162794095065611;0,5594412008148396;-0,276510581194931;0,860165836620999;0,506632835839420;1,134204225395608;1,1479229559752311;0,1505865759803090;1,3097117000433953;0,5;0,5
1371;1;57;5;3,66666666666667;3,25;4,25;3,50;4,13333333333333;4,7;3,0;2,9;3,4;2,4;2,45161290322581;1,6;3,00000000000000;2,77777777777778;2,8;4,0;2,6250;2,91666666666667;2,15789473684211;-1;2;2;8;1;2,0436897896153376;0,2363165977277070;0,161223245282132;0,1896391669903686;-0,585861918099333;-0,244456538567795;0,5310223820264622;-0,19786938486788902;1,2336468373141376;1,1162794095065611;0,5594412008148396;-0,276510581194931;0,860165836620999;0,506632835839420;1,134204225395608;1,1479229559752311;0,1505865759803090;1,3097117000433953;0,5;0,5
